Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (34655382),Luka Doncic,34655382,CPT,20700,DAL@BOS 06/17/2024 08:30PM ET,DAL,64.37
SF/PF,Jayson Tatum (34655383),Jayson Tatum,34655383,CPT,17100,DAL@BOS 06/17/2024 08:30PM ET,BOS,48.74
SG/SF,Jaylen Brown (34655384),Jaylen Brown,34655384,CPT,14700,DAL@BOS 06/17/2024 08:30PM ET,BOS,38.81
PG,Luka Doncic (34655347),Luka Doncic,34655347,UTIL,13800,DAL@BOS 06/17/2024 08:30PM ET,DAL,64.37
PG/SG,Kyrie Irving (34655385),Kyrie Irving,34655385,CPT,13500,DAL@BOS 06/17/2024 08:30PM ET,DAL,42.11
PF/C,Kristaps Porzingis (34655386),Kristaps Porzingis,34655386,CPT,12000,DAL@BOS 06/17/2024 08:30PM ET,BOS,36.98
SF/PF,Jayson Tatum (34655348),Jayson Tatum,34655348,UTIL,11400,DAL@BOS 06/17/2024 08:30PM ET,BOS,48.74
PG/SG,Derrick White (34655387),Derrick White,34655387,CPT,11400,DAL@BOS 06/17/2024 08:30PM ET,BOS,33.44
PG,Jrue Holiday (34655388),Jrue Holiday,34655388,CPT,10500,DAL@BOS 06/17/2024 08:30PM ET,BOS,30.19
SG/SF,Jaylen Brown (34655349),Jaylen Brown,34655349,UTIL,9800,DAL@BOS 06/17/2024 08:30PM ET,BOS,38.81
PG/SG,Kyrie Irving (34655350),Kyrie Irving,34655350,UTIL,9000,DAL@BOS 06/17/2024 08:30PM ET,DAL,42.11
PF/C,Al Horford (34655389),Al Horford,34655389,CPT,9000,DAL@BOS 06/17/2024 08:30PM ET,BOS,24.24
PF/C,PJ Washington (34655390),PJ Washington,34655390,CPT,8700,DAL@BOS 06/17/2024 08:30PM ET,DAL,26.85
C,Dereck Lively II (34655391),Dereck Lively II,34655391,CPT,8100,DAL@BOS 06/17/2024 08:30PM ET,DAL,22.73
