Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Cade Cunningham (41574427),Cade Cunningham,41574427,PG/G/UTIL,10300,BOS@DET 01/19/2026 08:00PM ET,DET,52.62
SF,Jaylen Brown (41574430),Jaylen Brown,41574430,SF/F/UTIL,10100,BOS@DET 01/19/2026 08:00PM ET,BOS,47.27
PG,Tyrese Maxey (41574433),Tyrese Maxey,41574433,PG/G/UTIL,9900,IND@PHI 01/19/2026 07:00PM ET,PHI,52.29
C,Joel Embiid (41574436),Joel Embiid,41574436,C/UTIL,9400,IND@PHI 01/19/2026 07:00PM ET,PHI,40.35
PG,Stephen Curry (41574438),Stephen Curry,41574438,PG/G/UTIL,9100,MIA@GSW 01/19/2026 10:00PM ET,GSW,43.82
SF,Michael Porter Jr. (41574441),Michael Porter Jr.,41574441,SF/F/UTIL,8900,PHX@BKN 01/19/2026 07:30PM ET,BKN,43.38
PG/SG,Devin Booker (41574444),Devin Booker,41574444,PG/SG/G/UTIL,8800,PHX@BKN 01/19/2026 07:30PM ET,PHX,41.83
PF,Pascal Siakam (41574448),Pascal Siakam,41574448,PF/F/UTIL,8700,IND@PHI 01/19/2026 07:00PM ET,IND,41.47
PG/SG,Derrick White (41574451),Derrick White,41574451,PG/SG/G/UTIL,8600,BOS@DET 01/19/2026 08:00PM ET,BOS,38.04
SF/PF,Jimmy Butler (41574455),Jimmy Butler,41574455,SF/PF/F/UTIL,8100,MIA@GSW 01/19/2026 10:00PM ET,GSW,37.51
C,Bam Adebayo (41574459),Bam Adebayo,41574459,C/UTIL,7700,MIA@GSW 01/19/2026 10:00PM ET,MIA,37.37
PG/SG,Tyler Herro (41574461),Tyler Herro,41574461,PG/SG/G/UTIL,7500,MIA@GSW 01/19/2026 10:00PM ET,MIA,35.14
C,Jalen Duren (41574465),Jalen Duren,41574465,C/UTIL,7400,BOS@DET 01/19/2026 08:00PM ET,DET,37.33
SG,Jalen Green (41574467),Jalen Green,41574467,SG/G/UTIL,7300,PHX@BKN 01/19/2026 07:30PM ET,PHX,24
