Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
102769-84669,PG,Luka,Luka Doncic,Doncic,60.55064808238637,77,12000,DAL@OKC,DAL,OKC,GTD,Knee,,,,PG
102769-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,52.13875122070313,80,10200,DAL@OKC,OKC,DAL,,,,,,PG
102769-80808,PF/SF,Jayson,Jayson Tatum,Tatum,45.88999938964844,80,9700,CLE@BOS,BOS,CLE,,,,,,SF/PF
102769-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.43491908482143,63,9400,CLE@BOS,CLE,BOS,,,,,,PG/SG
102769-14498,PG/SG,Kyrie,Kyrie Irving,Irving,42.97343826293945,64,8800,DAL@OKC,DAL,OKC,,,,,,PG/SG
102769-67026,SF/SG,Jaylen,Jaylen Brown,Brown,37.82236842105263,76,8300,CLE@BOS,BOS,CLE,,,,,,SG/SF
102769-157845,PF/C,Evan,Evan Mobley,Mobley,36.77894565515351,57,8100,CLE@BOS,CLE,BOS,,,,,,PF/C
102769-171759,C,Chet,Chet Holmgren,Holmgren,36.931396484375,86,8000,DAL@OKC,OKC,DAL,,,,,,C
102769-171760,SF/SG,Jalen,Jalen Williams,Williams,34.535999348958335,75,7900,DAL@OKC,OKC,DAL,,,,,,SG/SF
102769-49675,PG/SG,Derrick,Derrick White,White,33.18077048277244,78,7200,CLE@BOS,BOS,CLE,,,,,,PG/SG
102769-80821,C/PF,Jarrett,Jarrett Allen,Allen,37.08271544656636,81,7200,CLE@BOS,CLE,BOS,GTD,Ribs,,,,PF/C
102769-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,37.5540991611168,61,7000,CLE@BOS,BOS,CLE,O,Calf,,,,PF/C
102769-110342,PG,Darius,Darius Garland,Garland,31.801563262939453,64,6500,CLE@BOS,CLE,BOS,,,,,,PG
102769-110352,PF/C,P.J.,P.J. Washington,Washington,26.507596172863924,79,6000,DAL@OKC,DAL,OKC,,,,,,PF/C
102769-9663,PG,Jrue,Jrue Holiday,Holiday,29.120268950591218,74,6000,CLE@BOS,BOS,CLE,,,,,,PG
102769-9453,C/PF,Al,Al Horford,Horford,23.815713936941965,70,5800,CLE@BOS,BOS,CLE,,,,,,PF/C
102769-157905,SG/PG,Josh,Josh Giddey,Giddey,28.49166724795387,84,5700,DAL@OKC,OKC,DAL,,,,,,PG/SG
102769-111273,SF/SG,Luguentz,Luguentz Dort,Dort,20.93011989363705,83,5000,DAL@OKC,OKC,DAL,,,,,,SG/SF
102769-188425,C,Dereck,Dereck Lively,Lively,23.672131147540984,61,4800,DAL@OKC,DAL,OKC,,,,,,C
102769-112708,SG/SF,Max,Max Strus,Strus,25.876623376623378,77,4800,CLE@BOS,CLE,BOS,,,,,,SG/SF
102769-23798,SF/SG,Caris,Caris LeVert,LeVert,28.502666015625,75,4700,CLE@BOS,CLE,BOS,,,,,,SG/SF
102769-66968,SF,Derrick,Derrick Jones,Jones,17.459755502096037,82,4500,DAL@OKC,DAL,OKC,,,,,,SF
102769-110325,C,Daniel,Daniel Gafford,Gafford,29.095001220703125,80,4500,DAL@OKC,DAL,OKC,,,,,,C
102769-15846,SG/SF,Tim,Tim Hardaway,Hardaway,21.513579945505402,81,4000,DAL@OKC,DAL,OKC,,,,,,SG/SF
102769-145335,PG,Payton,Payton Pritchard,Pritchard,19.07586178834411,87,3900,CLE@BOS,BOS,CLE,,,,,,PG
102769-145341,SF/SG,Isaac,Isaac Okoro,Okoro,18.42894704718339,76,3900,CLE@BOS,CLE,BOS,,,,,,SG/SF
102769-157829,SG/SF,Aaron,Aaron Wiggins,Wiggins,13.662195717416159,82,3800,DAL@OKC,OKC,DAL,,,,,,SG/SF
102769-158854,SF/PF,Sam,Sam Hauser,Hauser,16.617857433500745,84,3700,CLE@BOS,BOS,CLE,,,,,,SF/PF
102769-145325,SF/SG,Josh,Josh Green,Green,17.012699187748016,63,3700,DAL@OKC,DAL,OKC,,,,,,SG/SF
102769-14512,PF/SF,Marcus,Marcus Morris,Morris,11.757407859519676,54,3700,CLE@BOS,CLE,BOS,,,,,,SF/PF
102769-41083,C,Luke,Luke Kornet,Kornet,15.213635993726326,66,3700,CLE@BOS,BOS,CLE,,,,,,C
102769-55055,SG/PG,Dante,Dante Exum,Exum,14.811475409836065,61,3600,DAL@OKC,DAL,OKC,,,,,,PG/SG
102769-14501,C,Tristan,Tristan Thompson,Thompson,9.803704155815971,54,3600,CLE@BOS,CLE,BOS,,,,,,C
102769-145317,SG/SF,Sam,Sam Merrill,Merrill,13.263636733546402,66,3600,CLE@BOS,CLE,BOS,,,,,,SG/SF
