name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,fpts-1k,cpt_pts,cpt_sal
Jrue Holiday,UTIL,7000,BOS,31.88,16.44,4.55,2.35,-3.12,4.55,47.82,10500
Dereck Lively,UTIL,5400,DAL,23.37,12.1,4.33,2.24,-3.63,4.33,35.06,8100
Jayson Tatum,UTIL,11400,BOS,52.88,27.39,4.64,2.4,-4.12,4.64,79.32,17100
Jaylen Brown,UTIL,9800,BOS,44.62,22.1,4.55,2.26,-4.38,4.55,66.93,14700
Maxi Kleber,UTIL,2400,DAL,7.38,3.33,3.08,1.39,-4.62,3.08,11.07,3600
Dante Exum,UTIL,2200,DAL,6.38,2.92,2.9,1.33,-4.62,2.9,9.57,3300
Sam Hauser,UTIL,3400,BOS,12.12,5.69,3.56,1.67,-4.88,3.56,18.18,5100
Payton Pritchard,UTIL,2800,BOS,8.88,4.11,3.17,1.47,-5.12,3.17,13.32,4200
Josh Green,UTIL,3000,DAL,9.62,4.32,3.21,1.44,-5.38,3.21,14.43,4500
PJ Washington,UTIL,5800,DAL,23.38,13.02,4.03,2.24,-5.62,4.03,35.07,8700
Al Horford,UTIL,6000,BOS,23.12,12.1,3.85,2.02,-6.88,3.85,34.68,9000
Kyrie Irving,UTIL,9000,DAL,37.88,19.98,4.21,2.22,-7.12,4.21,56.82,13500
Derrick Jones,UTIL,3800,DAL,11.62,6.26,3.06,1.65,-7.38,3.06,17.43,5700
Derrick White,UTIL,7600,BOS,30.12,16.54,3.96,2.18,-7.88,3.96,45.18,11400
Daniel Gafford,UTIL,4200,DAL,12.63,7.12,3.01,1.7,-8.37,3.01,18.94,6300
Luka Doncic,UTIL,13800,DAL,60.12,32.22,4.36,2.33,-8.88,4.36,90.18,20700
