name,pos,salary,team,opp,gametime,fpts,e_fpts,props,fpts/$,e_fpts/$,open,e_open,movement,e_movement
Jamal Murray,PG,10000.0,DEN,DAL,"(9, 30)",48.88,24.24,PRASB3T,4.888,2.424,48.38,24.58,0.5,-0.34
Tyrese Maxey,PG,9900.0,PHI,CLE,"(7, 0)",46.12,23.18,PRASB3T,4.658585858585859,2.341414141414141,46.12,23.67,0.0,-0.49
James Harden,PG,9500.0,LAC,WAS,"(10, 30)",49.19,24.595,---,5.177894736842105,2.5889473684210524,49.72,24.86,-0.53,-0.27
Donovan Mitchell,SG,9400.0,CLE,PHI,"(7, 0)",46.38,23.02,PRASB3(T),4.93404255319149,2.448936170212766,46.38,23.05,0.0,-0.03
Joel Embiid,C,9300.0,PHI,CLE,"(7, 0)",45.38,22.8,PRASB3(T),4.879569892473119,2.4516129032258065,45.38,22.98,0.0,-0.18
Kawhi Leonard,SF,9200.0,LAC,WAS,"(10, 30)",45.85,22.925,---,4.983695652173914,2.491847826086957,45.33,22.66,0.52,0.27
Jalen Brunson,PG,9000.0,NY,SAC,"(10, 0)",45.12,22.27,PRASB3(T),5.013333333333333,2.4744444444444444,46.12,22.51,-1.0,-0.24
Michael Porter,SF,8900.0,BKN,NO,"(8, 0)",43.62,20.36,PRASB3T,4.901123595505617,2.287640449438202,43.62,20.36,0.0,0.0
Karl-Anthony Towns,C,8700.0,NY,SAC,"(10, 0)",42.12,20.93,PRASB3(T),4.841379310344827,2.4057471264367813,42.12,21.2,0.0,-0.27
Pascal Siakam,PF,8700.0,IND,TOR,"(7, 0)",42.12,20.06,PRASB3(T),4.841379310344827,2.3057471264367817,42.12,19.94,0.0,0.12
Evan Mobley,PF/C,8600.0,CLE,PHI,"(7, 0)",36.88,19.1,PRASB3(T),4.2883720930232565,2.22093023255814,36.88,19.17,0.0,-0.07
Scottie Barnes,PF,8500.0,TOR,IND,"(7, 0)",48.62,22.55,PRASB3T,5.72,2.6529411764705886,47.12,21.38,1.5,1.17
Zion Williamson,PF,8400.0,NO,NO,"(8, 0)",38.88,19.2,PRASB(T),4.628571428571429,2.2857142857142856,37.88,18.9,1.0,0.3
Cooper Flagg,PG/SF,8300.0,DAL,DEN,"(9, 30)",41.38,20.06,PRASB3(T),4.985542168674699,2.416867469879518,41.38,20.41,0.0,-0.35
Keyonte George,PG,8200.0,UTA,CHI,"(8, 0)",44.88,21.16,PRASB3(T),5.4731707317073175,2.580487804878049,44.38,21.47,0.5,-0.31
Nikola Vucevic,C,8100.0,CHI,UTA,"(8, 0)",40.12,20.06,---,4.953086419753086,2.476543209876543,38.74,19.37,1.38,0.69
Trey Murphy,SG,8000.0,NO,NO,"(8, 0)",36.12,17.63,PRASB3(T),4.515,2.20375,38.62,18.18,-2.5,-0.55
Russell Westbrook,PG,7800.0,SAC,NY,"(10, 0)",36.62,18.57,PRASB3T,4.694871794871795,2.380769230769231,35.12,17.94,1.5,0.63
