name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,no-props
Dalano Banton,PG/SG,5400,POR,39.88,21.44,7.385185185185185,3.9703703703703708,12.88,0
Anfernee Simons,PG/SG,6700,POR,41.88,20.48,6.250746268656717,3.056716417910448,8.38,0
Nikola Jokic,C,12700,DEN,70.88,35.31,5.5811023622047236,2.7803149606299216,7.38,0
Donovan Clingan,C,5900,POR,36.62,18.88,6.206779661016949,3.1999999999999997,7.12,0
Obi Toppin,PF/C,4300,IND,26.88,13.3,6.251162790697674,3.0930232558139537,5.38,0
Jabari Walker,PF/C,3500,POR,22.12,11.47,6.32,3.2771428571428576,4.62,0
Luke Kornet,C,5000,BOS,28.87,13.73,5.774000000000001,2.746,3.87,0
Trey Lyles,PF/C,3400,SAC,20.38,10.9,5.9941176470588236,3.2058823529411766,3.38,0
Payton Pritchard,PG/SG,6300,BOS,34.62,17.14,5.495238095238094,2.7206349206349207,3.12,0
Royce O'Neale,SF/PF,4200,PHO,23.12,12.92,5.504761904761905,3.0761904761904764,2.12,0
Anthony Gill,PF/C,3000,WAS,17.12,8.55,5.706666666666667,2.85,2.12,0
Aaron Nesmith,SG/SF,4700,IND,25.12,12.4,5.3446808510638295,2.6382978723404253,1.62,0
Tyrese Haliburton,PG,9300,IND,47.88,24.99,5.148387096774194,2.6870967741935483,1.38,0
Max Strus,SG/SF,4200,CLE,22.12,11.28,5.266666666666667,2.6857142857142855,1.12,0
Shaedon Sharpe,PG/SG,8000,POR,40.88,22.8,5.11,2.85,0.88,0
De'Andre Hunter,SF/PF,4400,CLE,22.88,11.83,5.2,2.6886363636363635,0.88,0
Matisse Thybulle,SF,4100,POR,21.38,11.7,5.214634146341464,2.8536585365853657,0.88,0
Kris Murray,SF/PF,3400,POR,17.62,9.21,5.182352941176472,2.708823529411765,0.62,0
Bennedict Mathurin,SG/SF,5100,IND,26.12,12.56,5.121568627450981,2.462745098039216,0.62,0
Deni Avdija,SF/PF,9900,POR,49.88,25.64,5.038383838383838,2.5898989898989897,0.38,0
TJ McConnell,PG,4000,IND,20.37,11.1,5.0925,2.775,0.37,0
Toumani Camara,SG/SF,6300,POR,31.62,16.36,5.019047619047619,2.596825396825397,0.12,0
Jalen Pickett,PG/SG,4300,DEN,21.38,10.65,4.972093023255813,2.476744186046512,-0.12,0
Mikal Bridges,SG/SF,5900,NY,28.88,15.0,4.894915254237288,2.542372881355932,-0.62,0
Nick Richards,C,4700,PHO,22.87,11.66,4.865957446808511,2.4808510638297876,-0.63,0
Neemias Queta,C,3600,BOS,17.13,8.31,4.758333333333333,2.3083333333333336,-0.87,0
Tyus Jones,PG,3700,PHO,17.62,8.96,4.762162162162163,2.4216216216216218,-0.88,0
Colby Jones,SF,4100,WAS,19.62,9.88,4.785365853658537,2.4097560975609755,-0.88,0
Jarace Walker,SF/PF,3600,IND,16.88,9.27,4.688888888888888,2.575,-1.12,0
Jaylen Brown,SG/SF,8500,BOS,41.38,21.76,4.868235294117647,2.56,-1.12,0
Derrick White,PG,7900,BOS,38.12,20.62,4.8253164556962025,2.610126582278481,-1.38,0
Carlton Carrington,PG/SG,5800,WAS,27.62,14.98,4.7620689655172415,2.5827586206896553,-1.38,0
Andrew Nembhard,PG/SG,5200,IND,24.62,12.93,4.734615384615385,2.4865384615384616,-1.38,0
Myles Turner,C,6300,IND,30.12,16.76,4.780952380952382,2.6603174603174606,-1.38,0
Devin Booker,PG/SG,10000,PHO,48.62,25.06,4.862,2.506,-1.38,0
Darius Garland,PG,8100,CLE,38.88,19.23,4.800000000000001,2.3740740740740742,-1.62,0
Josh Hart,SF/PF,7500,NY,35.62,19.15,4.7493333333333325,2.5533333333333332,-1.88,0
Cameron Payne,PG/SG,3300,NY,14.38,7.0,4.357575757575758,2.1212121212121215,-2.12,0
AJ Johnson,PG/SG,5200,WAS,23.88,12.42,4.592307692307692,2.3884615384615384,-2.12,0
Aaron Gordon,PF,6500,DEN,30.38,15.98,4.673846153846154,2.4584615384615387,-2.12,0
Donovan Mitchell,PG/SG,9500,CLE,45.12,21.96,4.749473684210526,2.311578947368421,-2.38,0
Jonathan Kuminga,PF,5500,GS,25.12,12.73,4.567272727272727,2.3145454545454545,-2.38,0
Sam Merrill,SG,3400,CLE,14.62,7.03,4.3,2.0676470588235296,-2.38,0
Draymond Green,PF/C,6800,GS,31.62,16.4,4.65,2.411764705882353,-2.38,0
Brandin Podziemski,PG/SG,6500,GS,29.88,15.19,4.596923076923076,2.336923076923077,-2.62,0
Christian Braun,SG/SF,6600,DEN,30.38,15.52,4.6030303030303035,2.351515151515151,-2.62,0
Mitchell Robinson,C,3400,NY,14.13,7.49,4.155882352941177,2.2029411764705884,-2.87,0
Jordan Poole,PG/SG,6200,WAS,28.12,14.3,4.5354838709677425,2.3064516129032255,-2.88,0
Ty Jerome,PG,4700,CLE,20.62,10.63,4.3872340425531915,2.2617021276595746,-2.88,0
Buddy Hield,SG,3500,GS,14.62,7.56,4.177142857142857,2.16,-2.88,0
Sam Hauser,SF/PF,4000,BOS,16.88,9.17,4.22,2.2925,-3.12,0
Domantas Sabonis,C,10100,SAC,47.38,24.36,4.691089108910892,2.4118811881188122,-3.12,0
Jonas Valanciunas,C,3700,SAC,14.87,7.41,4.018918918918919,2.002702702702703,-3.63,0
Thomas Bryant,C,3800,IND,15.12,7.73,3.9789473684210526,2.0342105263157895,-3.88,0
Al Horford,PF/C,5900,BOS,25.62,14.38,4.342372881355932,2.4372881355932203,-3.88,0
Zach LaVine,SG/SF,7500,SAC,33.38,17.55,4.450666666666667,2.34,-4.12,0
Quinten Post,C,3200,GS,11.62,5.73,3.63125,1.7906250000000001,-4.38,0
Jrue Holiday,PG/SG,6800,BOS,29.62,14.73,4.355882352941176,2.166176470588235,-4.38,0
Justin Champagnie,SF/PF,5400,WAS,22.62,11.83,4.188888888888889,2.190740740740741,-4.38,0
Cody Martin,SF,3800,PHO,14.38,6.88,3.7842105263157895,1.8105263157894735,-4.62,0
Moses Moody,SG/SF,4700,GS,18.88,9.71,4.017021276595744,2.065957446808511,-4.62,0
Bradley Beal,SG,6500,PHO,27.88,14.81,4.289230769230769,2.2784615384615385,-4.62,0
Stephen Curry,PG,9400,GS,42.38,22.63,4.508510638297873,2.407446808510638,-4.62,0
Jimmy Butler,SF/PF,8300,GS,36.88,19.07,4.443373493975904,2.297590361445783,-4.62,0
Keon Ellis,PG/SG,4700,SAC,18.62,10.2,3.9617021276595747,2.1702127659574466,-4.88,0
Gui Santos,SF/PF,3000,GS,10.12,4.52,3.373333333333333,1.5066666666666666,-4.88,0
Karl-Anthony Towns,C,10200,NY,45.88,22.68,4.4980392156862745,2.223529411764706,-5.12,0
Keegan Murray,PF,6000,SAC,24.88,13.15,4.1466666666666665,2.191666666666667,-5.12,0
Ryan Dunn,SF/PF,4100,PHO,15.38,8.1,3.751219512195122,1.975609756097561,-5.12,0
Dean Wade,PF,3000,CLE,9.62,4.95,3.206666666666666,1.65,-5.38,0
OG Anunoby,SF/PF,7100,NY,30.12,16.44,4.24225352112676,2.315492957746479,-5.38,0
Evan Mobley,PF/C,9000,CLE,39.38,20.26,4.3755555555555565,2.2511111111111113,-5.62,0
Isaac Okoro,SG/SF,3000,CLE,9.38,4.7,3.126666666666667,1.5666666666666667,-5.62,0
DeMar DeRozan,SF,8400,SAC,36.38,19.24,4.3309523809523816,2.2904761904761903,-5.62,0
Malik Monk,PG/SG,7100,SAC,29.38,15.41,4.138028169014084,2.1704225352112676,-6.12,0
Oso Ighodaro,C,4000,PHO,13.87,7.52,3.4675,1.88,-6.13,0
Peyton Watson,SF/PF,5200,DEN,19.62,9.76,3.7730769230769234,1.876923076923077,-6.38,0
Grayson Allen,SG/SF,4200,PHO,14.38,7.44,3.4238095238095236,1.7714285714285716,-6.62,0
Jamal Murray,PG/SG,8500,DEN,35.38,18.02,4.162352941176471,2.12,-7.12,0
Michael Porter,SF,7200,DEN,27.13,15.15,3.7680555555555553,2.1041666666666665,-8.87,0
Jarrett Allen,C,7000,CLE,24.13,12.57,3.447142857142857,1.7957142857142856,-10.87,0
Jalen Brunson,PG,9200,NY,34.62,18.12,3.7630434782608693,1.9695652173913045,-11.38,0
Miles McBride,PG/SG,5400,NY,14.88,7.49,2.755555555555556,1.387037037037037,-12.12,0
Russell Westbrook,PG,8500,DEN,30.12,16.6,3.543529411764706,1.9529411764705884,-12.38,0
Rayan Rupert,PG/SG,3000,POR,7.74,0.0,2.58,0.0,-15.0,1
Markelle Fultz,PG,3000,SAC,5.04,0.0,1.6800000000000002,0.0,-15.0,1
Devin Carter,PG/SG,3000,SAC,10.08,0.0,3.3600000000000003,0.0,-15.0,1
Isaac Jones,PF/C,3000,SAC,6.66,0.0,2.22,0.0,-15.0,1
Kevon Looney,C,3000,GS,10.35,0.0,3.4499999999999997,0.0,-15.0,1
JT Thor,PF,3000,WAS,10.44,0.0,3.48,0.0,-15.0,1
Lester Quinones,SG,3000,NO,11.7,0.0,3.9,0.0,-15.0,1
Jamal Cain,SF,3000,NO,17.46,0.0,5.82,0.0,-15.0,1
Andre Jackson,SG/SF,3000,MIL,8.01,0.0,2.67,0.0,-15.0,1
Blake Wesley,PG,3100,SA,10.44,0.0,3.367741935483871,0.0,-15.5,1
Georges Niang,PF,3200,ATL,20.88,0.0,6.5249999999999995,0.0,-16.0,1
Dominick Barlow,PF/C,3200,ATL,13.95,0.0,4.359374999999999,0.0,-16.0,1
Gary Payton,SG/SF,3300,GS,6.21,0.0,1.8818181818181818,0.0,-16.5,1
Vit Krejci,SG/SF,3300,ATL,14.58,0.0,4.418181818181819,0.0,-16.5,1
Mouhamed Gueye,PF/C,3300,ATL,12.51,0.0,3.790909090909091,0.0,-16.5,1
Kylor Kelley,C,3300,NO,11.97,0.0,3.627272727272728,0.0,-16.5,1
Landry Shamet,SG/SF,3400,NY,7.2,0.0,2.11764705882353,0.0,-17.0,1
Svi Mykhailiuk,SF,3400,UTA,10.53,0.0,3.0970588235294114,0.0,-17.0,1
Baylor Scheierman,SG/SF,3400,BOS,12.06,0.0,3.547058823529412,0.0,-17.0,1
AJ Green,PG/SG,3500,MIL,18.99,0.0,5.425714285714285,0.0,-17.5,1
Micah Potter,PF/C,3500,UTA,11.07,0.0,3.1628571428571433,0.0,-17.5,1
Torrey Craig,PF/C,3500,BOS,7.2,0.0,2.0571428571428574,0.0,-17.5,1
Terance Mann,PG/SF,3500,ATL,16.92,0.0,4.8342857142857145,0.0,-17.5,1
Jeremiah Robinson-Earl,PF,3600,NO,18.27,0.0,5.074999999999999,0.0,-18.0,1
Jaden Springer,SG,3600,UTA,8.46,0.0,2.35,0.0,-18.0,1
Jaylen Martin,SF,3700,WAS,11.88,0.0,3.210810810810811,0.0,-18.5,1
Elfrid Payton,PG,3800,NO,19.17,0.0,5.044736842105263,0.0,-19.0,1
Steven Adams,C,3900,HOU,13.41,0.0,3.4384615384615387,0.0,-19.5,1
Marcus Smart,PG/SG,3900,WAS,14.94,0.0,3.8307692307692305,0.0,-19.5,1
Bismack Biyombo,C,4000,SA,18.36,0.0,4.59,0.0,-20.0,1
Johnny Juzang,SG/SF,4000,UTA,22.5,0.0,5.625,0.0,-20.0,1
Julian Champagnie,SG/SF,4100,SA,20.25,0.0,4.939024390243903,0.0,-20.5,1
Gary Trent,SG/SF,4100,MIL,23.13,0.0,5.641463414634146,0.0,-20.5,1
Antonio Reeves,SG/SF,4100,NO,17.82,0.0,4.3463414634146345,0.0,-20.5,1
Kevin Porter,PG,4200,MIL,36.81,0.0,8.764285714285714,0.0,-21.0,1
Oscar Tshiebwe,C,4200,UTA,10.71,0.0,2.5500000000000003,0.0,-21.0,1
Keion Brooks,SF/PF,4300,NO,20.79,0.0,4.834883720930232,0.0,-21.5,1
Taurean Prince,SG,4300,MIL,20.88,0.0,4.855813953488372,0.0,-21.5,1
Harrison Barnes,SF/PF,4400,SA,21.42,0.0,4.868181818181818,0.0,-22.0,1
Collin Gillespie,PG/SG,4400,PHO,12.24,0.0,2.7818181818181817,0.0,-22.0,1
Sandro Mamukelashvili,PF/C,4500,SA,16.2,0.0,3.6,0.0,-22.5,1
Karlo Matkovic,PF/C,4600,NO,27.9,0.0,6.065217391304348,0.0,-23.0,1
Caris LeVert,SG/SF,4800,ATL,22.41,0.0,4.66875,0.0,-24.0,1
