name,pos,salary,team,fpts,e_fpts,fpts/$,e_fpts/$,value,cpt_pts,cpt_sal,no-props
Aaron Wiggins,UTIL,2000,OKC,13.12,6.63,6.56,3.315,3.12,19.68,3000,0
Cason Wallace,UTIL,3200,OKC,16.12,8.32,5.0375000000000005,2.6,0.12,24.18,4800,0
Nickeil Alexander-Walker,UTIL,2800,MIN,11.88,6.12,4.242857142857143,2.1857142857142855,-2.12,17.82,4200,0
Alex Caruso,UTIL,4800,OKC,21.38,10.84,4.454166666666667,2.2583333333333333,-2.62,32.07,7200,0
Luguentz Dort,UTIL,4000,OKC,16.38,8.12,4.095,2.03,-3.62,24.57,6000,0
Jaylin Williams,UTIL,2400,OKC,6.38,2.98,2.658333333333333,1.2416666666666667,-5.62,9.57,3600,0
Shai Gilgeous-Alexander,UTIL,12000,OKC,52.88,28.37,4.406666666666667,2.3641666666666667,-7.12,79.32,18000,0
Isaiah Joe,UTIL,1600,OKC,3.8,0.0,2.375,0.0,-8.0,0.0,2400,1
Mike Conley,UTIL,5400,MIN,17.62,8.9,3.262962962962963,1.6481481481481481,-9.38,26.43,8100,0
Jalen Williams,UTIL,9400,OKC,36.62,20.51,3.8957446808510636,2.1819148936170216,-10.38,54.93,14100,0
Jaden McDaniels,UTIL,7400,MIN,26.38,13.79,3.5648648648648646,1.8635135135135135,-10.62,39.57,11100,0
Donte DiVincenzo,UTIL,6000,MIN,19.12,10.58,3.1866666666666665,1.7633333333333334,-10.88,28.68,9000,0
Naz Reid,UTIL,6400,MIN,21.12,11.44,3.3,1.7875,-10.88,31.68,9600,0
Anthony Edwards,UTIL,11600,MIN,47.12,25.64,4.062068965517241,2.2103448275862068,-10.88,70.68,17400,0
Chet Holmgren,UTIL,8600,OKC,32.12,17.19,3.7348837209302324,1.9988372093023257,-10.88,48.18,12900,0
Isaiah Hartenstein,UTIL,7800,OKC,25.87,14.42,3.316666666666667,1.8487179487179488,-13.13,38.8,11700,0
Rudy Gobert,UTIL,7000,MIN,25.13,0.0,3.59,0.0,-35.0,0.0,10500,1
Julius Randle,UTIL,10000,MIN,42.88,0.0,4.288,0.0,-50.0,0.0,15000,1
